"","betaCatenin","CD11b","CD11c","CD138","CD16","CD20","CD209","CD3","CD31","CD4","CD45","CD45RO","CD56","CD63","CD68","CD8","dsDNA","EGFR","FoxP3","H3K27me3","H3K9ac","HLA_Class_1","HLADR","IDO","Keratin17","Keratin6","Ki67","Lag3","MPO","p53","panKeratin","PD1","PDL1","pS6","SMA","Vimentin","mm","centroidX","centroidY"
"Cell_1442",0,0,0.078639187,0,0,0.648962617,0,0.205747381,0,0.080721825,0.720536709,0.383306921,0,0,0.001434503,0.009807548,0.744750857,0,0,0.813936472,0.64663744,0.275631517,0.838195264,0,0,0,0,0,0,0,0,0,0.009293738,0.481040537,0,0.694073737,"B",2030.645996,153.4057007
"Cell_1443",0,0,0.164236411,0,0,0.428454012,0,0.213720426,0,0.118329845,0.545158029,0.293157905,0,0,0.003051278,0,0.69323957,0,0,0.722949862,0.661900282,0.153556034,0.742958665,0,0,0,0,0,0,0,0,0,0,0.400792301,0,0.801915288,"B",1629.063965,161.9129944
"Cell_1444",0,0.026337093,0.583974481,0,0,0.454221964,0,0.672273159,0,0.435383201,0.769643247,0.472049683,0,0,0.056070384,0.018894754,0.74815315,0,0,0.766819,0.701155722,0.377645493,0.754491746,0,0,0,0,0,0,0,0,0.047818225,0,0.424760848,0,0.612157464,"B",1662.36499,160.203598
"Cell_1445",0,0,0,0,0,0.511164248,0,0.297210664,0,0.251733422,0.695370436,0.423737198,0,0,0,0.274062514,0.814445913,0,0,0.922658026,0.764675796,0.615102589,0.704057574,0,0,0,0,0,0,0,0,0,0.016032467,0.605406046,0,0.350594193,"B",1530.932983,160.9203949
"Cell_1446",0,0,0,0,0.24722591,0.405334383,0,0,0,0,0.479016632,0.082414627,0,0,0.280197293,0,0.756329536,0,0,0.550905526,0.512144864,0.313802779,0.587399602,0,0,0,0,0,0,0,0,0,0,0.326002985,0,0.516677678,"B",309.383606,162.4360962
"Cell_1447",0.0578642,0.091968507,0.250511497,0,0,0.481324494,0,0.234512389,0,0.241138816,0.744021714,0.456261873,0,0,0,0,0.782977879,0,0,0.823981345,0.819642663,0.664343119,0.797860563,0.191977575,0,0,0,0,0,0,0,0.059108943,0,0.529320121,0,0.62570709,"B",1852.303955,162.9703979
"Cell_1448",0,0,0.147193536,0,0.216510102,0.560679197,0,0,0,0.04430569,0.531807065,0.228500351,0,0,0.267743707,0,0.815773964,0,0,0.850103378,0.722411573,0.441040337,0.627900183,0,0,0,0,0,0,0,0,0,0,0.545338809,0,0.437771678,"B",291.8125,180.8327942
"Cell_1449",0,0,0,0,0,0.964416683,0,0.12793076,0,0,0.632647276,0.321591288,0,0,0.077335782,0,0.589861214,0,0,0.838728547,0.665103018,0.4012281,0.808546841,0,0,0,0,0,0,0,0,0,0,0.498425215,0,0.402629822,"B",1568.730957,196.245697
"Cell_1450",0,0,0,0,0,0.747823894,0,0.205980241,0,0.114911169,0.802152157,0.514442325,0,0,0,0,0.615882158,0,0,0.827109814,0.649215043,0.404980421,0.827314198,0,0,0,0,0,0,0,0,0,0,0.591715395,0,0.098650612,"B",1884.151978,201.3636017
"Cell_1451",0,0,0,0,0,0.359801739,0,0.180670947,0,0,0.565532863,0.145766348,0,0,0,0.043464091,0.750368953,0,0,0.83131671,0.762054503,0.709668636,0.689207435,0,0,0,0,0,0,0,0,0,0,0.524461687,0,0.527663767,"B",1588.453003,202.7704926
"Cell_1452",0,0,0.075481825,0,0.031761575,0.709029198,0,0.159407973,0,0.243938953,0.716384053,0.436959594,0,0,0.208223179,0,0.818193734,0,0,0.844876409,0.784140348,0.62945056,0.772183716,0,0,0.080355003,0.005319978,0,0,0,0,0.076459303,0,0.550832987,0,0.627728403,"B",1830.034058,202.388504
"Cell_1453",0.108819038,0,0.042707417,0,0,0.481869996,0,0.19938609,0,0.111121371,0.54961592,0.310444802,0,0,0,0.16187942,0.797801018,0,0,0.884603143,0.733095884,0.190630808,0.739301741,0,0,0,0,0,0,0,0,0.015194086,0.011940925,0.54765898,0.062609434,0.652805865,"B",1504.125,206.3677063
"Cell_1454",0.281034261,0,0.264490873,0,0,0.769900918,0,0.422122389,0,0.221957594,0.74597007,0.522759974,0,0,0.013551789,0.270417273,0.803889751,0.033310592,0,0.76683104,0.627462626,0.338645548,0.845818162,0,0,0,0,0,0,0,0,0,0,0.400856674,0.245715842,0.634847343,"B",1975.670044,206.1054993
"Cell_1455",0,0,0.304557085,0,0.009906907,0.479662001,0,0.234766141,0,0.072475135,0.527864158,0.321591288,0,0,0.038128264,0.167456612,0.704516649,0,0,0.605167508,0.565536082,0.134355873,0.770717382,0,0,0,0,0,0,0,0,0,0,0.275620371,0,0.801440895,"B",1555.005981,209.3390045
"Cell_1456",0.048804212,0.020637779,0.053190246,0,0,0.749577999,0,0.166206464,0,0.059278447,0.656498611,0.341612488,0,0,0,0.024734076,0.737026155,0,0,0.742841601,0.707297266,0.644951403,0.78004694,0.006387063,0,0,0.296576113,0,0,0,0,0.020660521,0.177628636,0.471580982,0,0.438540816,"B",1758.628052,211.3571014
"Cell_1457",0.042609144,0.117386781,0.135591477,0,0,0.691611528,0,0.222972304,0,0.158880562,0.688565731,0.474727511,0,0,0.048685241,0.038134515,0.672822416,0,0,0.813732862,0.71954,0.7924968,0.843963504,0.051470358,0,0,0,0,0,0,0,0.176134348,0,0.464777529,0,0.623701036,"B",1736.687988,213.1439972
"Cell_1458",0,0,0.28927353,0,0,0.604695618,0,0.264014244,0,0.138176158,0.631673396,0.33163625,0,0,0,0.136384979,0.732787728,0,0,0.906072974,0.78806603,0.434606373,0.742530107,0,0,0,0,0,0,0,0,0,0,0.548729241,0,0.617275596,"B",1697.436035,217.7259979
"Cell_1459",0.026027825,0,0.20048891,0,0,0.419916064,0,0.046674665,0,0.008550142,0.299683511,0.041233409,0,0,0,0,0.581409872,0,0,0.416044563,0.561528087,0.34340328,0.720959425,0,0,0,0,0,0,0,0,0,0,0.226364344,0.080792509,0.824828744,"B",1940.442017,216.2174988
"Cell_1460",0,0,0.668232024,0,0,0.68820101,0,0.278229773,0,0.526997447,0.917881489,0.806124091,0,0,0.178047672,0,0.723843098,0,0,0.566935956,0.546679258,0.34958151,0.827158272,0,0,0,0,0,0,0,0,0.446273893,0,0.39538452,0,0.647047281,"B",1825.850952,225.5805054
"Cell_1461",0.019354085,0,0.309428811,0,0,0.815243423,0,0.394555658,0,0.52997613,0.782028317,0.397420287,0,0,0.060411189,0,0.79986614,0,0,0.796614051,0.504119277,0.687289417,0.880923808,0,0,0,0,0,0,0,0,0.031327482,0,0.568174779,0,0.571920872,"B",1915.845947,226.7082977
"Cell_1462",0,0,0.029386342,0,0,0.828268111,0,0.213640019,0,0.042339627,0.702739656,0.418081105,0,0,0,0.091324173,0.804636538,0,0,0.928969562,0.772893071,0.435963482,0.754681826,0,0,0,0,0,0,0,0,0.009285868,0.043769602,0.617433786,0,0.461593091,"B",1764.61499,230.5950928
"Cell_1463",0,0,0.085031711,0,0,0.685447514,0,0.389905691,0,0.190778181,0.735858738,0.489271879,0,0,0,0.203749076,0.767885268,0,0,0.869065762,0.815762222,0.428296417,0.727437973,0,0,0,0,0,0,0,0,0,0.013650607,0.529476762,0,0.672565818,"B",1684.612061,234.7713928
"Cell_1464",0.096211076,0.091748551,0.683078289,0,0,0.945200503,0,0.187835753,0,0.1902408,0.795003772,0.509896457,0,0,0.229874983,0,0.620570898,0,0,0.801953018,0.666571796,0.732213497,0.809204996,0,0,0,0,0,0,0,0,0,0,0.608433962,0,0.574172676,"B",1825.52002,238.1056976
"Cell_1465",0.229947388,0,0.490910947,0,0,0.519728184,0,0.241567776,0,0.407666326,0.723676741,0.300863475,0,0,0.011619335,0.049495026,0.634896159,0,0,0.665832281,0.5848279,0.95342505,0.887340963,0,0,0,0,0,0,0,0,0,0,0.39667967,0,0.681023479,"B",1905.974976,242.1177979
"Cell_1466",0.009393217,0,0.202967182,0,0,0.794503808,0,0.266352713,0,0.152660385,0.681375206,0.395412683,0,0,0,0,0.809041977,0,0,0.914321899,0.677667558,0.647729754,0.762452841,0,0,0.219054922,0,0,0,0,0,0,0,0.603000343,0,0.539984763,"B",1888.18103,243.1186066
"Cell_1467",0,0,0.127276689,0,0,0.629503727,0,0.239330024,0,0.175260544,0.59175396,0.130188942,0,0,0.184323221,0,0.711587667,0,0,0.861713886,0.755454242,0.304800332,0.709339559,0,0,0,0,0,0,0,0,0,0,0.544832647,0,0.407504827,"B",2003.619019,250.2949066
"Cell_1468",0.457025856,0.367921114,0.573176324,0,0,0.408616185,0,0.03506241,0,0.364218652,0.611929417,0.069406226,0,0,0.197317749,0,0.60713774,0,0,0.560507715,0.386792451,0.974562645,0.838648081,0,0,0,0,0,0,0,0,0.168830469,0,0.606229365,0,0.96208322,"B",1820.535034,251.3939056
"Cell_1469",0,0,0.028018588,0,0,0.674419582,0,0.05144183,0,0,0.522825062,0.063144393,0,0,0.011594734,0.026407719,0.691084325,0,0,0.862610519,0.774478793,0.53231895,0.64200604,0,0,0,0,0,0,0,0,0,0,0.549780965,0,0.242517382,"B",1672.296997,266.4914856
"Cell_1470",0.31534785,0.183190241,0.558737278,0,0,0.906936169,0,0.061902422,0,0.29532057,0.839119732,0.236200586,0.560870826,0.098005965,0.072597995,0,0.566034496,0,0,0.529198349,0.328950942,0.833595395,0.893144906,0,0,0,0,0,0,0,0,0.149633273,0,0.571262717,0,0.592843413,"B",1813.509033,266.7142944
"Cell_1471",0.018004848,0,0,0,0,0.670458734,0,0.17236726,0,0.182169676,0.589008391,0.415336102,0,0,0,0,0.705850244,0,0,0.912879348,0.786103189,0.436127812,0.707597077,0,0,0,0,0.016521877,0,0,0,0,0,0.60877645,0,0.534593463,"B",1724.142944,268.7791138
"Cell_1472",0.021804893,0.220323309,0.629927337,0,0,0.50656873,0,0.365675867,0,0.348647535,0.715633094,0.602111042,0,0,0.315200478,0,0.575905979,0,0,0.672480345,0.780035913,0.655457795,0.800964177,0,0,0,0,0,0,0,0,0,0,0.455601037,0,0.728385687,"B",1827.380005,271.7135925
