Reference Year,GHGRP ID No.,Facility Province or Territory,CO2 tonnes,CH4 tonnes,N2O tonnes,SF6 tonnes,HFC Total tonnes CO2e,PFC Total tonnes CO2e
2022,G10257,Saskatchewan,405860.4431,673.680664,10.285136,0.0,0.0,0.0
2022,G10258,Saskatchewan,18470.41436,2026.85406,0.48541,0.0,0.0,0.0
2022,G10259,Saskatchewan,513428.8106,153.1406,37.0904,0.0,0.0,0.0
2022,G10260,Alberta,256190.0657,19.2712,5.8237,0.0,1586.343,0.0
2022,G10261,Alberta,486153.9,116.76,11.68,0.0,0.0,0.0
2022,G10262,Alberta,2401563.724,750.6796,35.6618,0.0,0.585,0.0
2022,G10263,Quebec,80311.0,77.068,14.425,0.0,0.0,0.0
2022,G10264,Saskatchewan,1758725.882,77.665307,39.823523,0.0,0.0,0.0
2022,G10265,Alberta,1634653.98,31.5581,8.7129,0.0,33.5483,0.0
2022,G10267,Alberta,300917.544,26.8416,7.8041,0.0,0.0,0.0
2022,G10268,Alberta,194782.3876,114.3005,5.8938,0.0,0.0,0.0
2022,G10269,Alberta,1017888.642,213.9681,13.536271,0.0,6.435,0.0
2022,G10271,Manitoba,691517.199,7.939,90.767,0.0,0.0,0.0
2022,G10272,Quebec,165978.0,103.59,22.39,0.0,0.0,0.0
2022,G10273,Ontario,1159625.197,13.0977,5.4097,0.0,0.0,0.0
2022,G10274,Ontario,539672.0971,5.7803,1.458852,0.0,0.0,0.0
2022,G10275,Ontario,258938.81,623.6781,10.1652,0.0,0.0,0.0
2022,G10276,Ontario,3752379.367,479.69103,9.05955,0.0,0.0,0.0
2022,G10277,Alberta,146623.0417,354.67881,9.72334,0.0,0.0,0.0
2022,G10278,Alberta,1708576.303,215.343,20.5514,0.0,0.0,0.0
2022,G10279,Manitoba,0.0,2640.19,0.0,0.0,0.0,0.0
2022,G10281,Alberta,876305.6046,17.253301,15.953139,0.0,0.0,0.0
2022,G10283,Ontario,539220.1903,114.9699,32.706,0.0,0.0,0.0
2022,G10285,Ontario,156818.5,252.967,13.483,0.0,0.0,0.0
2022,G10289,British Columbia,333131.32,48.4125,3.1023,0.00168,0.0,0.0
2022,G10290,Saskatchewan,93323.36878,4225.1141,2.29021,0.0,0.0,0.0
2022,G10291,Nova Scotia,939613.9736,9.119051,12.487044,0.0,0.0,0.0
2022,G10292,Nova Scotia,1051862.929,227.457789,26.114042,0.01164,0.0,0.0
2022,G10293,Ontario,3748.9557,0.9179,0.09523,0.0,0.0,0.0
2022,G10295,Quebec,837717.06,1.55695,2.16505,0.000455,235.144,60440.349
2022,G10296,Quebec,392960.07,0.799,1.6691,0.0,73.385,219091.809
2022,G10298,Quebec,15501.55,0.0143,0.0832,0.0,0.0,0.0
2022,G10299,Quebec,907524.682,12.6834,7.5719,0.0,0.0,0.0
2022,G10300,Quebec,503755.285,0.764,3.182,0.0,73.61647,15022.215
2022,G10302,Quebec,214503.62,22.6295,10.0663,0.0,0.0,0.0
2022,G10304,Quebec,21914.382,5.52,7.056,0.0,0.0,0.0
2022,G10306,Quebec,476727.05,1.439148,1.543281,0.027057,36.9915,42936.96231
2022,G10307,Quebec,406680.62,0.4028,0.76959,0.0,176.8,121497.564
2022,G10310,Ontario,1144.0,3356.059,0.038,0.0,0.0,0.0
2022,G10312,Alberta,110336.8828,251.2618,8.0008,0.0,0.0,0.0
2022,G10313,Alberta,281592.034,156.8863,9.8776,0.0,0.0,0.0
2022,G10315,Ontario,23247.616,6.218,0.622,0.0,0.0,0.0
2022,G10316,Alberta,1097268.635,60.9169,13.3906,0.0,337.62459,0.0
2022,G10318,Ontario,78540.1737,788.0289,7.03801,0.0,943.8,0.0
2022,G10320,British Columbia,52476.86743,298.06961,1.2374,0.0,0.0,0.0
2022,G10321,Alberta,132550.1419,179.2289,2.9422,0.0,0.0,0.0
2022,G10323,Ontario,9127.374268,2.360092,0.236009,0.0,0.0,0.0
2022,G10324,Alberta,3551131.351,852.775488,24.305482,0.0,0.0,0.0
2022,G10327,Alberta,93908.10483,0.0923,0.024322,0.0,1.43,0.0
2022,G10328,Saskatchewan,83305.3606,5.148185,3.451815,0.0,0.0,0.0
2022,G10329,Saskatchewan,433231.9095,399.33912,7.29849,0.0,0.0,0.0
