"","betaCatenin","CD11b","CD11c","CD138","CD16","CD20","CD209","CD3","CD31","CD4","CD45","CD45RO","CD56","CD63","CD68","CD8","dsDNA","EGFR","FoxP3","H3K27me3","H3K9ac","HLA_Class_1","HLADR","IDO","Keratin17","Keratin6","Ki67","Lag3","MPO","p53","panKeratin","PD1","PDL1","pS6","SMA","Vimentin","centroidX","centroidY"
"Cell_430",0,0,0,0.02129986,0,0.85133487,0,0,0,0,0.540504277,0.029839298,0,0.016759366,0,0,0.727122366,0,0,0.655369282,0.495614231,0.559990942,0.631704092,0,0,0,0,0,0,0,0,0,0,0.408478796,0,0,746.8572998,1831.328979
"Cell_431",0,0,0,0,0,0.628302217,0,0.115902402,0,0,0.550600886,0.187511459,0,0,0,0.014967499,0.748318613,0,0,0.721849263,0.575728595,0.324988723,0.546389759,0,0,0,0,0,0,0,0,0,0,0.339713126,0,0,771.3967896,1830.692993
"Cell_432",0,0,0,0,0,0.963260353,0,0,0,0,0.873409867,0.070876434,0,0,0,0,0.749758899,0,0,0.769363344,0.508490741,0.614286125,0.720659614,0,0,0,0,0,0,0,0,0,0,0.521514893,0,0,1005.370972,1827.81897
"Cell_433",0,0,0,0,0,0.670923173,0,0.055192605,0,0.020227144,0.597422898,0.174003333,0,0,0,0,0.714489937,0,0,0.725830257,0.604255676,0.426948696,0.552839577,0,0,0,0,0,0,0,0,0,0,0.329007804,0,0,1020.622986,1828.312988
"Cell_434",0,0,0,0,0,0.808364868,0,0,0,0,0.665665925,0.086073905,0,0,0,0,0.673932374,0,0,0.680333555,0.482409328,0.504583836,0.624741912,0,0,0,0,0,0,0,0,0,0,0.376034379,0,0,1119.024048,1828.989014
"Cell_435",0,0,0,0,0,0.677439034,0,0.175625592,0,0,0.677470446,0.427253127,0,0,0,0,0.748563588,0,0,0.697027266,0.641217351,0.493873924,0.529820383,0,0,0,0,0,0,0,0,0,0,0.332801372,0,0,1174.266968,1829.41394
"Cell_436",0,0,0,0,0,0.693001568,0,0.085148819,0,0.119381957,0.591627479,0.267272919,0,0,0,0,0.736972988,0,0,0.726088047,0.563558877,0.458627641,0.556264043,0,0,0.009573089,0,0,0,0,0,0,0,0.425208092,0,0.426777601,1348.453003,1829.267944
"Cell_437",0,0,0,0,0,0.855556428,0,0.008349159,0,0,0.630381346,0.049688175,0,0,0,0,0.626985192,0,0,0.598858297,0.439275026,0.454185277,0.650810719,0,0,0,0,0,0,0,0,0,0,0.360093594,0,0,972.9423218,1831.547974
"Cell_438",0,0,0,0,0,0.830229998,0,0,0,0,0.57175988,0.14067781,0,0,0,0,0.71231395,0,0,0.607385695,0.427501947,0.591655016,0.672595739,0,0,0,0,0,0,0,0,0,0,0.329919398,0,0,1189.89502,1830.795044
"Cell_439",0,0,0,0,0,0.905131638,0,0,0,0,0.422342777,0,0,0,0,0,0.733689368,0,0,0.697527587,0.570437133,0.658454716,0.572975516,0,0,0,0,0,0,0,0,0,0,0.416219562,0,0.138556242,1321.692993,1832.734009
"Cell_440",0,0,0,0,0,0.746066272,0,0,0,0,0.35756731,0.176693097,0,0,0,0,0.708480299,0,0,0.745745122,0.668048382,0.414962411,0.573702395,0,0,0,0,0,0,0,0,0,0,0.344041228,0,0,943.0341187,1834.477051
"Cell_441",0,0,0,0,0,0.872131109,0,0,0,0,0.506813943,0.044765197,0,0,0,0,0.677835941,0,0,0.693136334,0.622059464,0.502108753,0.620239913,0,0,0,0,0,0,0,0,0,0,0.386915803,0,0,956.5151978,1834.831055
"Cell_442",0,0,0,0,0,0.598148108,0,0.346324712,0,0.471955329,0.721946537,0.624561727,0,0,0,0,0.720100045,0,0,0.727429569,0.625387907,0.168606654,0.548122168,0,0,0,0,0,0,0,0,0,0,0.368509918,0,0,1227.5,1833.946045
"Cell_443",0,0,0,0,0,0.748112082,0,0,0,0,0.66757524,0.216960698,0,0,0,0,0.779749513,0,0,0.779210925,0.652751327,0.495416522,0.429765314,0,0,0,0,0,0,0,0,0,0,0.464295179,0,0,868.4376831,1836.010986
"Cell_444",0,0,0,0,0,0.864381552,0,0,0,0,0.666779757,0,0,0,0,0,0.672993422,0,0,0.687303364,0.520087302,0.537193656,0.580329478,0,0,0,0,0,0,0,0,0,0,0.417261958,0,0,1143.970947,1835.81897
"Cell_445",0,0,0,0,0,0.920483887,0,0.085932352,0,0.050454859,0.744775712,0.130834863,0,0,0,0.068396851,0.766870499,0,0,0.759798586,0.482575029,0.454463929,0.707680464,0,0,0,0,0,0,0,0,0,0,0.442548901,0,0,1441.396973,1836.234985
