"Industry (English) / Industrie (Anglais)","Industry (French) / Industrie (Français)","Year / Année","NAICS Number / Numéro SCIAN","Total - Releases to Air (tonnes) / Total - Rejets dans l'air (tonnes)","Facility Count / Nombres d'installations"
"Aerospace product and parts manufacturing","Fabrication de produits aérospatiaux et de leurs pièces",2023,3364,868.254551170,33
"Aerospace product and parts manufacturing","Fabrication de produits aérospatiaux et de leurs pièces",2018,3364,1023.839749800,37
"Aerospace product and parts manufacturing","Fabrication de produits aérospatiaux et de leurs pièces",2024,3364,12221.425998101,31
"Aerospace product and parts manufacturing","Fabrication de produits aérospatiaux et de leurs pièces",2017,3364,897.077425900,36
"Aerospace product and parts manufacturing","Fabrication de produits aérospatiaux et de leurs pièces",2021,3364,781.629634810,34
"Aerospace product and parts manufacturing","Fabrication de produits aérospatiaux et de leurs pièces",2020,3364,796.873664321,36
"Aerospace product and parts manufacturing","Fabrication de produits aérospatiaux et de leurs pièces",2019,3364,1056.150448240,36
"Aerospace product and parts manufacturing","Fabrication de produits aérospatiaux et de leurs pièces",2015,3364,1106.373896500,33
"Aerospace product and parts manufacturing","Fabrication de produits aérospatiaux et de leurs pièces",2022,3364,871.264505219,34
"Aerospace product and parts manufacturing","Fabrication de produits aérospatiaux et de leurs pièces",2016,3364,1090.631493100,35
"Agricultural supplies merchant wholesalers","Grossistes-marchands de fournitures agricoles",2019,4183,678.200858000,28
"Agricultural supplies merchant wholesalers","Grossistes-marchands de fournitures agricoles",2022,4183,430.544158000,27
"Agricultural supplies merchant wholesalers","Grossistes-marchands de fournitures agricoles",2020,4183,843.193319000,27
"Agricultural supplies merchant wholesalers","Grossistes-marchands de fournitures agricoles",2017,4183,736.588169000,33
"Agricultural supplies merchant wholesalers","Grossistes-marchands de fournitures agricoles",2015,4183,672.631458000,33
"Agricultural supplies merchant wholesalers","Grossistes-marchands de fournitures agricoles",2024,4183,110.319616000,5
"Agricultural supplies merchant wholesalers","Grossistes-marchands de fournitures agricoles",2021,4183,420.130048000,28
"Agricultural supplies merchant wholesalers","Grossistes-marchands de fournitures agricoles",2023,4183,531.122985000,28
"Agricultural supplies merchant wholesalers","Grossistes-marchands de fournitures agricoles",2018,4183,517.765112000,28
"Agricultural supplies merchant wholesalers","Grossistes-marchands de fournitures agricoles",2016,4183,711.495073000,32
"Agricultural, construction and mining machinery manufacturing","Fabrication de machines pour l'agriculture, la construction et l'extraction minière",2024,3331,194.458315000,12
"Agricultural, construction and mining machinery manufacturing","Fabrication de machines pour l'agriculture, la construction et l'extraction minière",2023,3331,319.726500000,11
"Agricultural, construction and mining machinery manufacturing","Fabrication de machines pour l'agriculture, la construction et l'extraction minière",2016,3331,1517.805600000,9
"Agricultural, construction and mining machinery manufacturing","Fabrication de machines pour l'agriculture, la construction et l'extraction minière",2022,3331,335.174600000,11
"Agricultural, construction and mining machinery manufacturing","Fabrication de machines pour l'agriculture, la construction et l'extraction minière",2020,3331,241.901100000,10
"Agricultural, construction and mining machinery manufacturing","Fabrication de machines pour l'agriculture, la construction et l'extraction minière",2019,3331,3323.299100000,11
"Agricultural, construction and mining machinery manufacturing","Fabrication de machines pour l'agriculture, la construction et l'extraction minière",2018,3331,2771.360600000,11
"Agricultural, construction and mining machinery manufacturing","Fabrication de machines pour l'agriculture, la construction et l'extraction minière",2015,3331,1575.861600000,9
"Agricultural, construction and mining machinery manufacturing","Fabrication de machines pour l'agriculture, la construction et l'extraction minière",2021,3331,254.258100000,12
"Agricultural, construction and mining machinery manufacturing","Fabrication de machines pour l'agriculture, la construction et l'extraction minière",2017,3331,2684.898400000,12
"Alumina and aluminum production and processing","Production et transformation d'alumine et d'aluminium",2022,3313,438294.985588967,30
"Alumina and aluminum production and processing","Production et transformation d'alumine et d'aluminium",2015,3313,452169.563078892,29
"Alumina and aluminum production and processing","Production et transformation d'alumine et d'aluminium",2020,3313,460951.357415963,29
"Alumina and aluminum production and processing","Production et transformation d'alumine et d'aluminium",2021,3313,451278.533766896,30
"Alumina and aluminum production and processing","Production et transformation d'alumine et d'aluminium",2018,3313,452754.869959829,30
"Alumina and aluminum production and processing","Production et transformation d'alumine et d'aluminium",2016,3313,498717.677666247,30
"Alumina and aluminum production and processing","Production et transformation d'alumine et d'aluminium",2024,3313,453712.664360038,28
"Alumina and aluminum production and processing","Production et transformation d'alumine et d'aluminium",2023,3313,465216.874941437,30
"Alumina and aluminum production and processing","Production et transformation d'alumine et d'aluminium",2017,3313,510466.133295969,31
"Alumina and aluminum production and processing","Production et transformation d'alumine et d'aluminium",2019,3313,428696.616709795,31
"Animal food manufacturing","Fabrication d'aliments pour animaux",2018,3111,1691.050691400,75
"Animal food manufacturing","Fabrication d'aliments pour animaux",2017,3111,2155.559613000,80
"Animal food manufacturing","Fabrication d'aliments pour animaux",2024,3111,2592.741918310,78
"Animal food manufacturing","Fabrication d'aliments pour animaux",2019,3111,1627.713808624,76
"Animal food manufacturing","Fabrication d'aliments pour animaux",2023,3111,2559.264919781,78
"Animal food manufacturing","Fabrication d'aliments pour animaux",2020,3111,1276.565008666,81
"Animal food manufacturing","Fabrication d'aliments pour animaux",2016,3111,2556.799994200,75
"Animal food manufacturing","Fabrication d'aliments pour animaux",2022,3111,2512.965376190,77
"Animal food manufacturing","Fabrication d'aliments pour animaux",2021,3111,2483.894015090,79
"Animal food manufacturing","Fabrication d'aliments pour animaux",2015,3111,2279.892911100,68
"Architectural and structural metals manufacturing","Fabrication de produits d'architecture et d'éléments de charpentes métalliques",2023,3323,728.438468460,19
"Architectural and structural metals manufacturing","Fabrication de produits d'architecture et d'éléments de charpentes métalliques",2017,3323,382.114042000,12
"Architectural and structural metals manufacturing","Fabrication de produits d'architecture et d'éléments de charpentes métalliques",2021,3323,769.230539361,17
"Architectural and structural metals manufacturing","Fabrication de produits d'architecture et d'éléments de charpentes métalliques",2018,3323,502.058895400,18
"Architectural and structural metals manufacturing","Fabrication de produits d'architecture et d'éléments de charpentes métalliques",2024,3323,524.391996120,18
"Architectural and structural metals manufacturing","Fabrication de produits d'architecture et d'éléments de charpentes métalliques",2022,3323,783.111103098,18
"Architectural and structural metals manufacturing","Fabrication de produits d'architecture et d'éléments de charpentes métalliques",2015,3323,1019.630639000,17
"Architectural and structural metals manufacturing","Fabrication de produits d'architecture et d'éléments de charpentes métalliques",2016,3323,632.343936300,16
"Architectural and structural metals manufacturing","Fabrication de produits d'architecture et d'éléments de charpentes métalliques",2020,3323,586.921995400,16
"Architectural and structural metals manufacturing","Fabrication de produits d'architecture et d'éléments de charpentes métalliques",2019,3323,574.208420400,16
"Architectural, engineering and related services","Architecture, génie et services connexes",2023,5413,3.392376784,2
"Architectural, engineering and related services","Architecture, génie et services connexes",2020,5413,0.015665051,2
"Architectural, engineering and related services","Architecture, génie et services connexes",2021,5413,0.025738125,1
"Architectural, engineering and related services","Architecture, génie et services connexes",2018,5413,0.000000000,1
"Architectural, engineering and related services","Architecture, génie et services connexes",2016,5413,0.013554000,1
"Architectural, engineering and related services","Architecture, génie et services connexes",2017,5413,0.000003600,1
"Architectural, engineering and related services","Architecture, génie et services connexes",2024,5413,2.126496000,2
"Architectural, engineering and related services","Architecture, génie et services connexes",2015,5413,0.016712900,1
"Architectural, engineering and related services","Architecture, génie et services connexes",2022,5413,0.021906870,1
"Automotive repair and maintenance","Réparation et entretien de véhicules automobiles",2020,8111,0.175200000,6
"Automotive repair and maintenance","Réparation et entretien de véhicules automobiles",2022,8111,0.194700000,6
"Automotive repair and maintenance","Réparation et entretien de véhicules automobiles",2021,8111,0.179800000,6
"Automotive repair and maintenance","Réparation et entretien de véhicules automobiles",2019,8111,0.190400000,6
"Automotive repair and maintenance","Réparation et entretien de véhicules automobiles",2016,8111,0.198400000,6
"Automotive repair and maintenance","Réparation et entretien de véhicules automobiles",2018,8111,0.194800000,6
"Automotive repair and maintenance","Réparation et entretien de véhicules automobiles",2024,8111,0.159600000,6
"Automotive repair and maintenance","Réparation et entretien de véhicules automobiles",2023,8111,0.170900000,6
"Automotive repair and maintenance","Réparation et entretien de véhicules automobiles",2015,8111,0.205300000,6
"Automotive repair and maintenance","Réparation et entretien de véhicules automobiles",2017,8111,0.185300000,6
"Bakeries and tortilla manufacturing","Boulangeries et fabrication de tortillas",2022,3118,2400.278320000,47
"Bakeries and tortilla manufacturing","Boulangeries et fabrication de tortillas",2017,3118,2085.441000000,51
"Bakeries and tortilla manufacturing","Boulangeries et fabrication de tortillas",2024,3118,2844.416420000,51
"Bakeries and tortilla manufacturing","Boulangeries et fabrication de tortillas",2015,3118,2299.841500000,50
"Bakeries and tortilla manufacturing","Boulangeries et fabrication de tortillas",2018,3118,3247.633000000,50
"Bakeries and tortilla manufacturing","Boulangeries et fabrication de tortillas",2021,3118,2445.164523000,46
"Bakeries and tortilla manufacturing","Boulangeries et fabrication de tortillas",2016,3118,2194.209300000,45
"Bakeries and tortilla manufacturing","Boulangeries et fabrication de tortillas",2023,3118,2240.628900000,45
"Bakeries and tortilla manufacturing","Boulangeries et fabrication de tortillas",2019,3118,2632.272435000,47
"Bakeries and tortilla manufacturing","Boulangeries et fabrication de tortillas",2020,3118,2477.388335000,48
"Basic chemical manufacturing","Fabrication de produits chimiques de base",2024,3251,40519.821544670,96
"Basic chemical manufacturing","Fabrication de produits chimiques de base",2019,3251,40905.639870330,98
"Basic chemical manufacturing","Fabrication de produits chimiques de base",2023,3251,40686.294584841,103
"Basic chemical manufacturing","Fabrication de produits chimiques de base",2020,3251,38257.275985969,95
"Basic chemical manufacturing","Fabrication de produits chimiques de base",2018,3251,45202.565613430,99
"Basic chemical manufacturing","Fabrication de produits chimiques de base",2022,3251,45332.964879440,99
"Basic chemical manufacturing","Fabrication de produits chimiques de base",2015,3251,43811.371025416,92
"Basic chemical manufacturing","Fabrication de produits chimiques de base",2016,3251,42556.614112421,101
"Basic chemical manufacturing","Fabrication de produits chimiques de base",2021,3251,46324.723479865,102
"Basic chemical manufacturing","Fabrication de produits chimiques de base",2017,3251,40003.123807853,99
"Beverage manufacturing","Fabrication de boissons",2019,3121,11312.461300000,18
"Beverage manufacturing","Fabrication de boissons",2016,3121,10353.717000000,20
"Beverage manufacturing","Fabrication de boissons",2024,3121,11087.019800000,20
"Beverage manufacturing","Fabrication de boissons",2021,3121,12767.211514000,18
"Beverage manufacturing","Fabrication de boissons",2022,3121,11401.829404000,20
"Beverage manufacturing","Fabrication de boissons",2020,3121,12314.465400000,18
"Beverage manufacturing","Fabrication de boissons",2015,3121,10206.156200000,18
"Beverage manufacturing","Fabrication de boissons",2018,3121,11189.504900000,18
"Beverage manufacturing","Fabrication de boissons",2023,3121,11237.317000000,21
"Beverage manufacturing","Fabrication de boissons",2017,3121,10307.536500000,19
"Boiler, tank and shipping container manufacturing","Fabrication de chaudières, de réservoirs et de contenants d'expédition",2024,3324,225.420790000,6
"Boiler, tank and shipping container manufacturing","Fabrication de chaudières, de réservoirs et de contenants d'expédition",2017,3324,200.431000000,4
"Boiler, tank and shipping container manufacturing","Fabrication de chaudières, de réservoirs et de contenants d'expédition",2015,3324,229.488000000,4
"Boiler, tank and shipping container manufacturing","Fabrication de chaudières, de réservoirs et de contenants d'expédition",2020,3324,224.363000000,4
"Boiler, tank and shipping container manufacturing","Fabrication de chaudières, de réservoirs et de contenants d'expédition",2023,3324,198.410000000,3
"Boiler, tank and shipping container manufacturing","Fabrication de chaudières, de réservoirs et de contenants d'expédition",2019,3324,243.212001200,5
"Boiler, tank and shipping container manufacturing","Fabrication de chaudières, de réservoirs et de contenants d'expédition",2018,3324,234.011000000,5
"Boiler, tank and shipping container manufacturing","Fabrication de chaudières, de réservoirs et de contenants d'expédition",2016,3324,209.314000000,4
"Boiler, tank and shipping container manufacturing","Fabrication de chaudières, de réservoirs et de contenants d'expédition",2022,3324,221.654198000,3
"Boiler, tank and shipping container manufacturing","Fabrication de chaudières, de réservoirs et de contenants d'expédition",2021,3324,242.937840000,3
"Cement and concrete product manufacturing","Fabrication de ciment et de produits en béton",2020,3273,62175.519213982,82
"Cement and concrete product manufacturing","Fabrication de ciment et de produits en béton",2021,3273,64918.644870991,82
"Cement and concrete product manufacturing","Fabrication de ciment et de produits en béton",2022,3273,65824.127123031,93
"Cement and concrete product manufacturing","Fabrication de ciment et de produits en béton",2017,3273,67575.413268427,103
"Cement and concrete product manufacturing","Fabrication de ciment et de produits en béton",2018,3273,71097.608626568,93
"Cement and concrete product manufacturing","Fabrication de ciment et de produits en béton",2023,3273,61055.186325212,108
"Cement and concrete product manufacturing","Fabrication de ciment et de produits en béton",2015,3273,66038.987227303,93
"Cement and concrete product manufacturing","Fabrication de ciment et de produits en béton",2016,3273,65429.263538621,112
"Cement and concrete product manufacturing","Fabrication de ciment et de produits en béton",2024,3273,57133.523618026,108
"Cement and concrete product manufacturing","Fabrication de ciment et de produits en béton",2019,3273,67946.009081386,93
"Chemical (except agricultural) and allied product merchant wholesalers","Grossistes-marchands de produits chimiques et de produits analogues (sauf agricoles)",2022,4184,39.983212501,18
"Chemical (except agricultural) and allied product merchant wholesalers","Grossistes-marchands de produits chimiques et de produits analogues (sauf agricoles)",2018,4184,40.079370200,16
"Chemical (except agricultural) and allied product merchant wholesalers","Grossistes-marchands de produits chimiques et de produits analogues (sauf agricoles)",2023,4184,52.394089308,16
"Chemical (except agricultural) and allied product merchant wholesalers","Grossistes-marchands de produits chimiques et de produits analogues (sauf agricoles)",2015,4184,29.724110000,12
"Chemical (except agricultural) and allied product merchant wholesalers","Grossistes-marchands de produits chimiques et de produits analogues (sauf agricoles)",2017,4184,55.527920000,12
"Chemical (except agricultural) and allied product merchant wholesalers","Grossistes-marchands de produits chimiques et de produits analogues (sauf agricoles)",2019,4184,25.238510000,13
"Chemical (except agricultural) and allied product merchant wholesalers","Grossistes-marchands de produits chimiques et de produits analogues (sauf agricoles)",2021,4184,28.219108130,17
"Chemical (except agricultural) and allied product merchant wholesalers","Grossistes-marchands de produits chimiques et de produits analogues (sauf agricoles)",2020,4184,21.049335000,8
"Chemical (except agricultural) and allied product merchant wholesalers","Grossistes-marchands de produits chimiques et de produits analogues (sauf agricoles)",2024,4184,41.558991000,12
"Chemical (except agricultural) and allied product merchant wholesalers","Grossistes-marchands de produits chimiques et de produits analogues (sauf agricoles)",2016,4184,94.619600000,13
"Clay product and refractory manufacturing","Fabrication de produits en argile et produits réfractaires",2021,3271,882.041500000,6
"Clay product and refractory manufacturing","Fabrication de produits en argile et produits réfractaires",2020,3271,386.992000000,3
"Clay product and refractory manufacturing","Fabrication de produits en argile et produits réfractaires",2022,3271,744.712400000,6
"Clay product and refractory manufacturing","Fabrication de produits en argile et produits réfractaires",2023,3271,696.960000000,6
"Clay product and refractory manufacturing","Fabrication de produits en argile et produits réfractaires",2016,3271,774.138300000,6
"Clay product and refractory manufacturing","Fabrication de produits en argile et produits réfractaires",2019,3271,289.493000000,3
"Clay product and refractory manufacturing","Fabrication de produits en argile et produits réfractaires",2015,3271,599.373600000,6
"Clay product and refractory manufacturing","Fabrication de produits en argile et produits réfractaires",2018,3271,421.459300000,4
"Clay product and refractory manufacturing","Fabrication de produits en argile et produits réfractaires",2024,3271,639.692000000,6
"Clay product and refractory manufacturing","Fabrication de produits en argile et produits réfractaires",2017,3271,660.874600000,5
"Clothing accessories and other clothing manufacturing","Fabrication d'accessoires vestimentaires et d'autres vêtements",2016,3159,0.330900000,1
"Clothing accessories and other clothing manufacturing","Fabrication d'accessoires vestimentaires et d'autres vêtements",2015,3159,0.240000000,1
"Clothing accessories and other clothing manufacturing","Fabrication d'accessoires vestimentaires et d'autres vêtements",2020,3159,0.634170000,1
"Clothing accessories and other clothing manufacturing","Fabrication d'accessoires vestimentaires et d'autres vêtements",2018,3159,1.529300000,1
"Clothing accessories and other clothing manufacturing","Fabrication d'accessoires vestimentaires et d'autres vêtements",2019,3159,1.032000000,1
"Clothing accessories and other clothing manufacturing","Fabrication d'accessoires vestimentaires et d'autres vêtements",2017,3159,0.460900000,1
"Coal mining","Extraction de charbon",2024,2121,74046.227985180,19
"Coal mining","Extraction de charbon",2017,2121,128595.240516700,20
"Coal mining","Extraction de charbon",2022,2121,164684.185456100,18
"Coal mining","Extraction de charbon",2023,2121,77385.083164500,19
"Coal mining","Extraction de charbon",2016,2121,76562.978847500,16
"Coal mining","Extraction de charbon",2020,2121,180374.826920844,19
"Coal mining","Extraction de charbon",2015,2121,84638.965252000,16
"Coal mining","Extraction de charbon",2018,2121,116351.991184751,19
"Coal mining","Extraction de charbon",2021,2121,189942.223171747,20
"Coal mining","Extraction de charbon",2019,2121,188100.532274578,19
"Coating, engraving, cold and heat treating and allied activities","Revêtement, gravure, traitement thermique et par le froid, et activités analogues",2019,3328,1287.820810511,92
"Coating, engraving, cold and heat treating and allied activities","Revêtement, gravure, traitement thermique et par le froid, et activités analogues",2016,3328,1141.064064500,68
"Coating, engraving, cold and heat treating and allied activities","Revêtement, gravure, traitement thermique et par le froid, et activités analogues",2015,3328,1336.589609900,65
"Coating, engraving, cold and heat treating and allied activities","Revêtement, gravure, traitement thermique et par le froid, et activités analogues",2023,3328,1456.261515883,92
"Coating, engraving, cold and heat treating and allied activities","Revêtement, gravure, traitement thermique et par le froid, et activités analogues",2022,3328,1926.807859978,99
"Coating, engraving, cold and heat treating and allied activities","Revêtement, gravure, traitement thermique et par le froid, et activités analogues",2024,3328,1468.414631246,91
"Coating, engraving, cold and heat treating and allied activities","Revêtement, gravure, traitement thermique et par le froid, et activités analogues",2017,3328,1174.668065300,68
"Coating, engraving, cold and heat treating and allied activities","Revêtement, gravure, traitement thermique et par le froid, et activités analogues",2018,3328,822.065175323,92
"Coating, engraving, cold and heat treating and allied activities","Revêtement, gravure, traitement thermique et par le froid, et activités analogues",2021,3328,1694.869102397,93
"Coating, engraving, cold and heat treating and allied activities","Revêtement, gravure, traitement thermique et par le froid, et activités analogues",2020,3328,1386.480532095,92
"Commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance","Réparation et entretien de machines et de matériel d'usage commercial et industriel (sauf les véhicules automobiles et le matériel électronique)",2017,8113,62.338000000,2
"Commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance","Réparation et entretien de machines et de matériel d'usage commercial et industriel (sauf les véhicules automobiles et le matériel électronique)",2016,8113,62.247000000,2
"Commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance","Réparation et entretien de machines et de matériel d'usage commercial et industriel (sauf les véhicules automobiles et le matériel électronique)",2020,8113,12.940038900,2
"Commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance","Réparation et entretien de machines et de matériel d'usage commercial et industriel (sauf les véhicules automobiles et le matériel électronique)",2015,8113,12.857000000,1
"Commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance","Réparation et entretien de machines et de matériel d'usage commercial et industriel (sauf les véhicules automobiles et le matériel électronique)",2021,8113,12.665038900,2
"Commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance","Réparation et entretien de machines et de matériel d'usage commercial et industriel (sauf les véhicules automobiles et le matériel électronique)",2024,8113,12.945039021,3
"Commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance","Réparation et entretien de machines et de matériel d'usage commercial et industriel (sauf les véhicules automobiles et le matériel électronique)",2019,8113,52.320135900,4
"Commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance","Réparation et entretien de machines et de matériel d'usage commercial et industriel (sauf les véhicules automobiles et le matériel électronique)",2023,8113,12.825194055,3
"Commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance","Réparation et entretien de machines et de matériel d'usage commercial et industriel (sauf les véhicules automobiles et le matériel électronique)",2022,8113,12.944167900,4
"Commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance","Réparation et entretien de machines et de matériel d'usage commercial et industriel (sauf les véhicules automobiles et le matériel électronique)",2018,8113,51.920038900,3
"Commercial and service industry machinery manufacturing","Fabrication de machines pour le commerce et les industries de services",2018,3333,15.612406000,3
"Commercial and service industry machinery manufacturing","Fabrication de machines pour le commerce et les industries de services",2015,3333,29.624028000,1
"Commercial and service industry machinery manufacturing","Fabrication de machines pour le commerce et les industries de services",2017,3333,16.673987000,2
"Commercial and service industry machinery manufacturing","Fabrication de machines pour le commerce et les industries de services",2021,3333,39.228944000,4
"Commercial and service industry machinery manufacturing","Fabrication de machines pour le commerce et les industries de services",2024,3333,40.362509000,3
"Commercial and service industry machinery manufacturing","Fabrication de machines pour le commerce et les industries de services",2016,3333,22.489131000,1
"Commercial and service industry machinery manufacturing","Fabrication de machines pour le commerce et les industries de services",2022,3333,29.431662000,4
"Commercial and service industry machinery manufacturing","Fabrication de machines pour le commerce et les industries de services",2019,3333,22.819919000,4
"Commercial and service industry machinery manufacturing","Fabrication de machines pour le commerce et les industries de services",2023,3333,16.179560000,3
"Commercial and service industry machinery manufacturing","Fabrication de machines pour le commerce et les industries de services",2020,3333,20.136111000,4
"Communications equipment manufacturing","Fabrication de matériel de communication",2015,3342,0.008091100,4
"Communications equipment manufacturing","Fabrication de matériel de communication",2016,3342,0.009520400,3
"Communications equipment manufacturing","Fabrication de matériel de communication",2019,3342,0.014500000,1
"Communications equipment manufacturing","Fabrication de matériel de communication",2023,3342,0.010900000,2
"Communications equipment manufacturing","Fabrication de matériel de communication",2017,3342,0.010769300,3
"Communications equipment manufacturing","Fabrication de matériel de communication",2020,3342,0.010700000,1
"Communications equipment manufacturing","Fabrication de matériel de communication",2022,3342,0.010900000,2
"Communications equipment manufacturing","Fabrication de matériel de communication",2021,3342,0.007900000,1
"Communications equipment manufacturing","Fabrication de matériel de communication",2018,3342,0.013803000,2
"Communications equipment manufacturing","Fabrication de matériel de communication",2024,3342,0.002000000,1
"Community colleges and C.E.G.E.P.s","Collèges communautaires et cégeps",2019,6112,5.024300000,1
"Community colleges and C.E.G.E.P.s","Collèges communautaires et cégeps",2015,6112,4.983000000,1
"Community colleges and C.E.G.E.P.s","Collèges communautaires et cégeps",2016,6112,4.567900000,1
"Community colleges and C.E.G.E.P.s","Collèges communautaires et cégeps",2018,6112,5.134600000,1
"Community colleges and C.E.G.E.P.s","Collèges communautaires et cégeps",2017,6112,4.780500000,1
"Computer and peripheral equipment manufacturing","Fabrication de matériel informatique et périphérique",2020,3341,0.000556000,1
"Computer and peripheral equipment manufacturing","Fabrication de matériel informatique et périphérique",2017,3341,0.365811000,1
"Computer and peripheral equipment manufacturing","Fabrication de matériel informatique et périphérique",2024,3341,0.008920000,1
"Computer and peripheral equipment manufacturing","Fabrication de matériel informatique et périphérique",2015,3341,8.185842000,1
"Computer and peripheral equipment manufacturing","Fabrication de matériel informatique et périphérique",2023,3341,0.009120000,1
"Computer and peripheral equipment manufacturing","Fabrication de matériel informatique et périphérique",2019,3341,0.000560000,1
"Computer and peripheral equipment manufacturing","Fabrication de matériel informatique et périphérique",2022,3341,0.000560000,1
"Computer and peripheral equipment manufacturing","Fabrication de matériel informatique et périphérique",2016,3341,0.380311000,1
"Computer and peripheral equipment manufacturing","Fabrication de matériel informatique et périphérique",2021,3341,0.000560000,1
"Computer and peripheral equipment manufacturing","Fabrication de matériel informatique et périphérique",2018,3341,0.240784000,2
"Computing infrastructure providers, data processing, web hosting, and related services","Fournisseurs d'infrastructures informatiques, traitement de données, hébergement de données et services connexes",2024,5182,46.406000000,1
"Converted paper product manufacturing","Fabrication de produits en papier transformé",2022,3222,1167.502351000,18
"Converted paper product manufacturing","Fabrication de produits en papier transformé",2024,3222,1170.877180000,18
"Converted paper product manufacturing","Fabrication de produits en papier transformé",2023,3222,1158.976252000,17
"Converted paper product manufacturing","Fabrication de produits en papier transformé",2020,3222,1095.820662000,18
"Converted paper product manufacturing","Fabrication de produits en papier transformé",2015,3222,1475.794755000,16
"Converted paper product manufacturing","Fabrication de produits en papier transformé",2021,3222,1313.935077000,17
"Converted paper product manufacturing","Fabrication de produits en papier transformé",2019,3222,1183.316098000,19
"Converted paper product manufacturing","Fabrication de produits en papier transformé",2016,3222,1778.196090000,17
"Converted paper product manufacturing","Fabrication de produits en papier transformé",2017,3222,908.431685000,15
"Converted paper product manufacturing","Fabrication de produits en papier transformé",2018,3222,1863.114381000,19
"Cutlery and hand tool manufacturing","Fabrication de coutellerie et d'outils à main",2024,3322,2.337049790,2
"Cutlery and hand tool manufacturing","Fabrication de coutellerie et d'outils à main",2018,3322,5.383476200,2
"Cutlery and hand tool manufacturing","Fabrication de coutellerie et d'outils à main",2015,3322,60.505423700,2
"Cutlery and hand tool manufacturing","Fabrication de coutellerie et d'outils à main",2017,3322,18.781550100,2
"Cutlery and hand tool manufacturing","Fabrication de coutellerie et d'outils à main",2016,3322,42.342016600,2
"Cutlery and hand tool manufacturing","Fabrication de coutellerie et d'outils à main",2023,3322,0.000082040,1
"Cutlery and hand tool manufacturing","Fabrication de coutellerie et d'outils à main",2022,3322,3.114015600,2
"Cutlery and hand tool manufacturing","Fabrication de coutellerie et d'outils à main",2021,3322,3.441003000,2
"Cutlery and hand tool manufacturing","Fabrication de coutellerie et d'outils à main",2019,3322,5.556809500,2
"Cutlery and hand tool manufacturing","Fabrication de coutellerie et d'outils à main",2020,3322,5.353541800,2
"Dairy product manufacturing","Fabrication de produits laitiers",2020,3115,237.134000000,17
"Dairy product manufacturing","Fabrication de produits laitiers",2022,3115,227.880100000,19
"Dairy product manufacturing","Fabrication de produits laitiers",2024,3115,313.258500000,19
"Dairy product manufacturing","Fabrication de produits laitiers",2015,3115,185.427000000,15
"Dairy product manufacturing","Fabrication de produits laitiers",2023,3115,277.131480000,19
"Dairy product manufacturing","Fabrication de produits laitiers",2017,3115,188.999000000,16
"Dairy product manufacturing","Fabrication de produits laitiers",2019,3115,213.099000000,16
"Dairy product manufacturing","Fabrication de produits laitiers",2018,3115,185.949000000,16
"Dairy product manufacturing","Fabrication de produits laitiers",2021,3115,269.600000000,19
"Dairy product manufacturing","Fabrication de produits laitiers",2016,3115,189.306000000,17
"Deep sea, coastal and Great Lakes water transportation","Transport hauturier, côtier et sur les Grands Lacs",2015,4831,4.590300000,1
"Deep sea, coastal and Great Lakes water transportation","Transport hauturier, côtier et sur les Grands Lacs",2016,4831,5.158100000,1
"Defence services","Services de défense",2023,9111,408.109760900,29
"Defence services","Services de défense",2024,9111,459.909639919,34
"Defence services","Services de défense",2019,9111,4887.595955223,30
"Defence services","Services de défense",2022,9111,3741.602009020,27
"Defence services","Services de défense",2017,9111,4534.075741115,26
"Defence services","Services de défense",2021,9111,3957.282215300,27
"Defence services","Services de défense",2016,9111,1063.390031104,27
"Defence services","Services de défense",2020,9111,4651.981591301,27
"Defence services","Services de défense",2015,9111,4282.437505129,25
"Defence services","Services de défense",2018,9111,4373.611423727,27
"Dry cleaning and laundry services","Services de nettoyage à sec et de blanchissage",2018,8123,75.097400000,19
"Dry cleaning and laundry services","Services de nettoyage à sec et de blanchissage",2024,8123,66.118118000,33
"Dry cleaning and laundry services","Services de nettoyage à sec et de blanchissage",2019,8123,101.113555000,31
"Dry cleaning and laundry services","Services de nettoyage à sec et de blanchissage",2017,8123,89.419200000,21
"Dry cleaning and laundry services","Services de nettoyage à sec et de blanchissage",2020,8123,101.304402000,30
"Dry cleaning and laundry services","Services de nettoyage à sec et de blanchissage",2023,8123,68.815165000,31
"Dry cleaning and laundry services","Services de nettoyage à sec et de blanchissage",2016,8123,111.482200000,11
"Dry cleaning and laundry services","Services de nettoyage à sec et de blanchissage",2015,8123,79.366200000,13
"Dry cleaning and laundry services","Services de nettoyage à sec et de blanchissage",2021,8123,103.017412000,31
"Dry cleaning and laundry services","Services de nettoyage à sec et de blanchissage",2022,8123,99.992144000,30
"Electric lighting equipment manufacturing","Fabrication de matériel électrique d'éclairage",2022,3351,0.000110000,1
